SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,Qm
150,5,7.970135,3.75,1.6,51.996,25,4,0.465455
150,5,9.993505,3.75,1.6,51.996,25,4,0.527273
150,5,14.988355,3.75,1.6,51.996,25,4,0.669091
150,5,19.9857,3.75,1.6,51.996,25,4,0.64
150,5,0.9960025,3.75,1.6,51.996,35,4,0.0872727
150,5,2.029274,3.75,1.6,51.996,35,4,0.225455
150,5,4.05236,3.75,1.6,51.996,35,4,0.276364
150,5,5.953515,3.75,1.6,51.996,35,4,0.389091
150,5,7.95822,3.75,1.6,51.996,35,4,0.421818
150,5,9.930305,3.75,1.6,51.996,35,4,0.534545
150,5,14.948375,3.75,1.6,51.996,35,4,0.545455
150,5,19.88291,3.75,1.6,51.996,35,4,0.698182
150,5,1.010173,3.75,1.6,51.996,5,4,0.169863
150,5,1.949504,3.75,1.6,51.996,5,4,0.30411
150,5,3.976095,3.75,1.6,51.996,5,4,0.452055
150,5,5.995635,3.75,1.6,51.996,5,4,0.534247
150,5,8.013995,3.75,1.6,51.996,5,4,0.605479
150,5,10.36307,3.75,1.6,51.996,5,4,0.635616
150,5,14.96765,3.75,1.6,51.996,5,4,0.69863
150,5,19.97034,3.75,1.6,51.996,5,4,0.723288
150,5,1.977021,3.75,1.6,51.996,15,4,0.29863
150,5,4.01016,3.75,1.6,51.996,15,4,0.479452
150,5,6.030935,3.75,1.6,51.996,15,4,0.528767
150,5,7.865075,3.75,1.6,51.996,15,4,0.594521
150,5,9.98925,3.75,1.6,51.996,15,4,0.6
150,5,15.039645,3.75,1.6,51.996,15,4,0.706849
150,5,20.04273,3.75,1.6,51.996,15,4,0.739726
150,5,1.038744,3.75,1.6,51.996,25,4,0.186301
150,5,1.978075,3.75,1.6,51.996,25,4,0.320548
150,5,3.976095,3.75,1.6,51.996,25,4,0.452055
150,5,5.99798,3.75,1.6,51.996,25,4,0.556164
150,5,7.98895,3.75,1.6,51.996,25,4,0.621918
150,5,9.95916,3.75,1.6,51.996,25,4,0.619178
150,5,14.44286,3.75,1.6,51.996,25,4,0.679452
150,5,19.960125,3.75,1.6,51.996,25,4,0.753425
150,5,1.022697,3.75,1.6,51.996,35,4,0.161644
150,5,2.004294,3.75,1.6,51.996,35,4,0.315068
150,5,4.00584,3.75,1.6,51.996,35,4,0.479452
150,5,5.96511,3.75,1.6,51.996,35,4,0.624658
150,5,7.965075,3.75,1.6,51.996,35,4,0.649315
150,5,9.965035,3.75,1.6,51.996,35,4,0.673973
150,5,14.96765,3.75,1.6,51.996,35,4,0.69863
200,3,2.680161,4.01,2.33,207.2,15,5,0.378947
200,3,4.557506,4.01,2.33,207.2,15,5,0.452632
200,3,6.655076,4.01,2.33,207.2,15,5,0.452632
200,3,8.432478,4.01,2.33,207.2,15,5,0.410526
200,3,12.916515,4.01,2.33,207.2,15,5,0.442105
200,3,2.284725,4.01,2.33,207.2,27,5,0.557895
200,3,3.557772,4.01,2.33,207.2,27,5,0.789474
200,3,5.905392,4.01,2.33,207.2,27,5,0.873684
200,3,8.36054,4.01,2.33,207.2,27,5,1.01053
200,3,10.075414,4.01,2.33,207.2,27,5,0.947368
200,3,13.162363,4.01,2.33,207.2,27,5,0.968421
200,3,2.797176,4.01,2.33,207.2,40,5,0.894737
200,3,4.166355,4.01,2.33,207.2,40,5,1.27368
200,3,5.92483,4.01,2.33,207.2,40,5,1.38947
200,3,8.19622,4.01,2.33,207.2,40,5,1.43158
200,3,10.19243,4.01,2.33,207.2,40,5,1.46316
200,3,13.11926,4.01,2.33,207.2,40,5,1.46316
200,3,13.93622,4.01,2.33,207.2,40,5,1.29474
200,3,8,4.01,2.33,207.2,27,3,0.881743
200,3,8,4.01,2.33,207.2,27,4,0.96473
200,3,8,4.01,2.33,207.2,27,5,1.07884
200,3,8,4.01,2.33,207.2,27,6,2.27178
200,3,8,4.01,2.33,207.2,27,6,1.00136
200,3,8,4.01,2.33,207.2,27,6,0.740136
200,3,8,4.01,2.33,207.2,27,6,0.669388
200,3,8,4.01,2.33,207.2,27,6,0.307483
200,3,8,4.01,2.33,207.2,27,6,0.255782
200,3,8,4.01,2.33,207.2,27,6,0.220408
200,3,8,4.01,2.33,207.2,27,6,0.994
200,3,8,4.01,2.33,207.2,27,6,0.951
200,3,8,4.01,2.33,207.2,27,6,0.522
200,3,8,4.01,2.33,207.2,27,6,0.519
200,3,8,4.01,2.33,207.2,27,6,0.325
