SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
0.00309,1,198.182,4.23,1.8,58.93,35,5.5,1.895256753
0.00309,1,297.273,4.23,1.8,58.93,35,5.5,1.895256753
0.00309,1,397.273,4.23,1.8,58.93,35,5.5,1.895256753
0.00309,1,497.273,4.23,1.8,58.93,35,5.5,1.895256753
0.00309,1,100,4.23,1.8,58.93,45,5.5,1.900803935
0.00309,1,200,4.23,1.8,58.93,45,5.5,1.900803935
0.00309,1,300,4.23,1.8,58.93,45,5.5,1.900803935
0.00309,1,400,4.23,1.8,58.93,45,5.5,1.900803935
0.00309,1,499.091,4.23,1.8,58.93,45,5.5,1.900803935
,10,19.7739,4.01,2.33,207.2,25,6,-0.160528866
,10,39.8974,4.01,2.33,207.2,25,6,-0.160528866
,10,59.9377,4.01,2.33,207.2,25,6,-0.160528866
,10,79.8473,4.01,2.33,207.2,25,6,-0.160528866
,10,99.8578,4.01,2.33,207.2,25,6,-0.160528866
,10,19.778,4.26,1.6,112.41,25,12,0.215882264
,10,39.9198,4.26,1.6,112.41,25,12,0.215882264
,10,59.7488,4.26,1.6,112.41,25,12,0.215882264
,10,79.9225,4.26,1.6,112.41,25,12,0.215882264
,10,99.8944,4.26,1.6,112.41,25,12,0.215882264
0.003316,0.4,9.22709,4.01,2.33,207.2,15,6,1.115887739
0.003316,0.4,15.0678,4.01,2.33,207.2,15,6,1.115887739
0.003316,0.4,22.4168,4.01,2.33,207.2,15,6,1.115887739
0.003316,0.4,31.0323,4.01,2.33,207.2,15,6,1.115887739
0.003316,0.4,40.4628,4.01,2.33,207.2,15,6,1.115887739
0.003316,0.4,7.86885,4.01,2.33,207.2,25,6,1.116899832
0.003316,0.4,13.4016,4.01,2.33,207.2,25,6,1.116899832
0.003316,0.4,22.377,4.01,2.33,207.2,25,6,1.116899832
0.003316,0.4,30.7377,4.01,2.33,207.2,25,6,1.116899832
0.003316,0.4,39.8361,4.01,2.33,207.2,25,6,1.116899832
0.003316,0.4,6.02744,4.01,2.33,207.2,35,6,1.131962371
0.003316,0.4,11.1475,4.01,2.33,207.2,35,6,1.131962371
0.003316,0.4,18.8318,4.01,2.33,207.2,35,6,1.131962371
0.003316,0.4,24.6695,4.01,2.33,207.2,35,6,1.131962371
0.003316,0.4,33.178,4.01,2.33,207.2,35,6,1.131962371
0.004103,0.4,6.57091,4.01,2.33,207.2,15,6,1.11809104
0.004103,0.4,13.4502,4.01,2.33,207.2,15,6,1.11809104
0.004103,0.4,20.2229,4.01,2.33,207.2,15,6,1.11809104
0.004103,0.4,29.4163,4.01,2.33,207.2,15,6,1.11809104
0.004103,0.4,39.3086,4.01,2.33,207.2,15,6,1.11809104
0.004103,0.4,5.16393,4.01,2.33,207.2,25,6,1.137688883
0.004103,0.4,11.6803,4.01,2.33,207.2,25,6,1.137688883
0.004103,0.4,19.1803,4.01,2.33,207.2,25,6,1.137688883
0.004103,0.4,27.0492,4.01,2.33,207.2,25,6,1.137688883
0.004103,0.4,36.6393,4.01,2.33,207.2,25,6,1.137688883
0.004103,0.4,8.46751,4.01,2.33,207.2,35,6,1.17158576
0.004103,0.4,15.7403,4.01,2.33,207.2,35,6,1.17158576
0.004103,0.4,21.5771,4.01,2.33,207.2,35,6,1.17158576
0.004103,0.4,29.7773,4.01,2.33,207.2,35,6,1.17158576
0.01051,0.4,8.8868,4.01,2.33,207.2,15,6,1.119842582
0.01051,0.4,14.1444,4.01,2.33,207.2,15,6,1.119842582
0.01051,0.4,23.2359,4.01,2.33,207.2,15,6,1.119842582
0.01051,0.4,29.2978,4.01,2.33,207.2,15,6,1.119842582
0.01051,0.4,39.7697,4.01,2.33,207.2,15,6,1.119842582
0.01051,0.4,6.88525,4.01,2.33,207.2,25,6,1.131644003
0.01051,0.4,12.9098,4.01,2.33,207.2,25,6,1.131644003
0.01051,0.4,20.041,4.01,2.33,207.2,25,6,1.131644003
0.01051,0.4,30,4.01,2.33,207.2,25,6,1.131644003
0.01051,0.4,38.4836,4.01,2.33,207.2,25,6,1.131644003
0.01051,0.4,6.43434,4.01,2.33,207.2,35,6,1.165200984
0.01051,0.4,10.5262,4.01,2.33,207.2,35,6,1.165200984
0.01051,0.4,19.5475,4.01,2.33,207.2,35,6,1.165200984
0.01051,0.4,23.2234,4.01,2.33,207.2,35,6,1.165200984
0.01051,0.4,32.5544,4.01,2.33,207.2,35,6,1.165200984
0.007961,0.4,12.0041,4.01,2.33,207.2,15,6,1.108293336
